deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps,image_size_mb,state_management,cold_start_rate_pct,cold_start_duration_ms,alb_lcu_cost_usd,estimated_cost_usd,invocation_frequency_numeric,duration_tier_numeric,log_invocations,sustained_load,arch_enterprise-microservice,arch_event-driven-api,arch_ml-inference,platform_is_lambda
svc-batch-transform-2gb-slim-container,batch-transform,fargate,2048,slim,21,50k,0.5,large,2026-05-10 09:44:37.295323+00:00,3142,0,0.0,974.94,1002.95,1020.66,975.77,0.5819,50,0,0.0,0.0,0.00012711,0.148237,50000,5000,10.819778284410283,250.0,0,0,0,0
svc-event-driven-api-2gb-standard-serverless,event-driven-api,lambda,2048,standard,21,50k,0.5,large,2026-05-10 09:45:40.382526+00:00,3129,0,0.0,62.21,71.92,84.85,64.45,0.5794,250,0,0.0,0.0,0.0,0.007348,50000,5000,10.819778284410283,250.0,0,1,0,1
svc-ml-inference-2gb-standard-container,ml-inference,fargate,2048,standard,21,50k,0.5,large,2026-05-10 09:46:02.181400+00:00,3139,0,0.0,1204.27,1231.07,1325.63,1206.9,0.5813,250,0,0.0,0.0,0.00012631,0.148236,50000,5000,10.819778284410283,250.0,0,0,1,0
svc-enterprise-microservice-512mb-slim-container,enterprise-microservice,fargate,512,slim,21,50k,0.5,large,2026-05-10 09:51:57.713606+00:00,3107,0,0.0,8.62,11.6,21.56,9.27,0.5754,50,1,0.0,0.0,0.00012474,0.037152,50000,5000,10.819778284410283,250.0,1,0,0,0
svc-enterprise-microservice-512mb-standard-container,enterprise-microservice,fargate,512,standard,21,50k,0.5,large,2026-05-10 09:52:33.351467+00:00,3142,0,0.0,5.5,8.92,20.31,6.17,0.5819,250,1,0.0,0.0,0.00012428,0.037152,50000,5000,10.819778284410283,250.0,1,0,0,0
svc-enterprise-microservice-2gb-standard-container,enterprise-microservice,fargate,2048,standard,21,50k,0.5,large,2026-05-10 10:04:55.940871+00:00,3102,0,0.0,7.36,10.15,19.61,7.92,0.5744,250,1,0.0,0.0,0.00012135,0.148231,50000,5000,10.819778284410283,250.0,1,0,0,0
svc-batch-transform-512mb-slim-serverless,batch-transform,lambda,512,slim,21,50k,0.5,large,2026-05-10 10:08:12.060257+00:00,3098,0,0.0,80.35,97.76,115.94,82.5,0.5737,50,0,0.0323,1387.27,0.0,0.002749,50000,5000,10.819778284410283,250.0,0,0,0,1
svc-event-driven-api-512mb-slim-container,event-driven-api,fargate,512,slim,21,50k,0.5,large,2026-05-10 10:17:23.494491+00:00,3109,0,0.0,107.7,148.83,211.89,114.02,0.5757,50,0,0.0,0.0,0.00012248,0.03715,50000,5000,10.819778284410283,250.0,0,1,0,0
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,21,50k,0.5,large,2026-05-10 10:28:25.170686+00:00,3114,0,0.0,105.52,118.01,127.93,108.89,0.5767,50,0,0.0321,4774.69,0.0,0.011926,50000,5000,10.819778284410283,250.0,0,0,1,1
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,21,50k,0.5,large,2026-05-10 10:35:37.844428+00:00,3124,0,0.0,76.49,84.8,100.2,77.33,0.5785,250,0,0.0,0.0,0.00012191,0.148232,50000,5000,10.819778284410283,250.0,0,1,0,0
